94	3	3	3	.	2
95	3	5	4	.	.
96	1	2	5	.	3
97	5	.	1	.	4
98	2	2	4	.	3
99	5	5	4	.	4
100	5	4	4	.	3
101	2	2	4	.	.
102	4	5	4	.	1
103	4	3	3	.	4
104	2	2	3	.	1
105	1	3	3	.	1
106	2	2	5	.	3
107	5	5	3	.	3
108	2	4	5	.	4
109	3	3	4	.	4
110	5	5	5	.	1
111	1	4	1	.	1
112	5	.	.	.	1
113	3	3	5	.	4
114	5	4	3	.	1
115	5	4	4	.	2
116	5	5	1	.	.
117	1	3	2	.	4
118	2	2	5	.	2
119	4	5	4	.	2
120	5	4	2	.	4
121	4	4	3	.	.
122	4	3	4	.	1
123	4	3	5	.	1
124	3	2	4	.	4
125	2	2	5	.	3
126	4	5	3	.	.
127	.	.	2	.	1
128	3	3	4	.	3
129	.	3	5	.	4
130	1	1	5	.	4
131	5	5	5	.	1
132	3	4	2	.	4
133	1	1	5	.	3
134	3	1	5	.	4
135	5	4	5	.	3
136	3	3	4	.	3
137	2	2	5	.	3
138	4	1	5	.	4
139	1	2	5	.	3
140	3	3	5	.	.
141	5	4	4	.	1
142	2	3	3	.	1
143	4	3	4	.	4
144	5	4	4	.	1
145	4	4	5	.	4
146	3	3	3	.	.
147	.	3	3	.	4
148	3	3	3	.	4
149	4	2	5	.	1
150	5	5	5	.	1
151	3	3	3	.	1
152	3	5	4	.	1
153	4	4	2	.	3
154	5	5	4	.	3
155	5	3	5	.	1
156	5	5	5	.	1
157	2	2	5	.	4
158	5	5	.	.	1
159	1	2	4	.	4
160	4	4	4	.	1
161	2	1	5	.	4
162	5	3	3	.	1
163	3	1	5	.	4
164	1	1	5	.	4
165	3	4	2	.	2
166	4	4	4	.	4
167	2	3	5	.	1
168	5	3	5	.	4
169	3	3	3	.	4
170	1	1	5	.	4
171	1	1	4	.	2
172	3	3	5	.	1
173	4	2	4	.	2
174	1	1	4	.	3
175	4	4	3	.	1
176	.	.	5	.	3
177	5	5	5	.	4
178	1	1	5	.	3
179	3	4	3	.	4
180	2	2	5	.	3
181	5	5	5	.	1
182	2	2	4	.	3
183	2	4	3	.	4
184	5	5	5	.	4
185	4	4	5	.	3
186	2	3	5	.	3
187	1	5	5	.	3
188	3	4	5	.	1
189	1	1	5	.	3
190	1	3	5	.	4
191	2	3	4	.	3
192	4	4	5	.	4
193	2	3	2	.	4
194	3	3	5	.	2
195	3	4	4	.	3
196	2	4	4	.	4
197	3	3	3	.	4
198	4	5	5	.	4
199	3	3	5	.	1
200	2	4	4	.	4
201	5	5	2	.	4
202	1	3	4	.	3
203	2	3	5	.	2
204	2	5	4	.	4
205	3	4	4	.	4
206	3	2	4	.	2
207	4	4	2	.	3
208	2	2	4	.	3
209	3	3	3	.	4
210	5	4	5	.	2
211	4	4	4	.	4
212	3	3	3	.	1
213	5	5	5	.	4
214	2	5	3	.	1
215	3	3	5	.	4
216	4	3	5	.	4
217	4	4	4	.	4
218	1	3	3	.	2
219	4	4	3	.	4
